po_number;line_item;material_id;supplier_id;plant;doc_type;is_intracompany_transfer;po_qty;po_uom;open_qty;received_qty_so_far;delivery_date;doc_date;created_on;created_by;company_code;purch_group;material_group
4500015637;10;9050111402;1010525;1114;NB;false;33126;EA;33126;0;2026-07-27;2026-01-23;2026-01-23;FITZSIC;1110;177;4001
4500015638;10;9050091702;1010525;1711;NB;false;1920;EA;1920;0;2026-05-18;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015638;20;9050091702;1010525;1712;NB;false;960;EA;960;0;2026-05-18;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015638;30;9050091702;1010525;1714;NB;false;2880;EA;2880;0;2026-05-18;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015638;40;9050091702;1010525;7101;NB;false;60492;EA;60492;0;2026-05-18;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015639;10;9050091702;1010525;1711;NB;false;1920;EA;1920;0;2026-08-17;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015639;20;9050091702;1010525;1712;NB;false;960;EA;960;0;2026-08-17;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015639;30;9050091702;1010525;1714;NB;false;2880;EA;2880;0;2026-08-17;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015639;40;9050091702;1010525;7101;NB;false;93618;EA;93618;0;2026-08-17;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015640;10;9050091702;1010525;1711;NB;false;1920;EA;1920;0;2026-09-21;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015640;20;9050091702;1010525;1712;NB;false;960;EA;960;0;2026-09-21;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015640;30;9050091702;1010525;1714;NB;false;2880;EA;2880;0;2026-09-21;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015640;40;9050091702;1010525;7101;NB;false;93618;EA;93618;0;2026-09-21;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015641;10;9050091802;1010525;1711;NB;false;1920;EA;1920;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015641;20;9050091802;1010525;1712;NB;false;960;EA;960;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015641;30;9050091802;1010525;1714;NB;false;2880;EA;2880;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015641;40;9050091802;1010525;7101;NB;false;27366;EA;27366;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015642;10;9050124901;1010525;1711;NB;false;1920;EA;1920;0;2026-07-08;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015642;20;9050124901;1010525;1712;NB;false;960;EA;960;0;2026-07-08;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015642;30;9050124901;1010525;1714;NB;false;2880;EA;2880;0;2026-07-08;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015642;40;9050124901;1010525;7101;NB;false;27366;EA;27366;0;2026-07-08;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015648;10;6350067301;1002282;7101;NB;false;45000;EA;2900;42100;2026-03-20;2026-01-23;2026-01-23;GHULEM;1710;188;0001
4500015650;10;6350067501;1002282;7101;NB;false;25200;EA;625;24575;2026-02-12;2026-01-23;2026-01-23;GHULEM;1710;188;0001
4500015650;20;6350067601;1002282;7101;NB;false;4200;EA;150;4050;2026-02-12;2026-01-23;2026-01-23;GHULEM;1710;188;0001
4500015651;10;6350067901;1003563;7101;NB;false;262000;EA;23600;238400;2026-03-25;2026-01-23;2026-01-23;GHULEM;1710;188;0001
4500015673;10;9200004601;1001040;9999;ZSC;false;18360;EA;18360;0;2026-05-20;2026-01-23;2026-01-23;PRANATP;1710;81;1001
4500015675;10;9200004604;1001040;9999;ZSC;false;12240;EA;12240;0;2026-05-20;2026-01-23;2026-01-23;PRANATP;1710;81;1001
4500015680;10;9200003201;1013720;1722;NB;false;48000;EA;48000;0;2026-05-10;2026-01-23;2026-01-23;PRANATP;1710;81;1001
4500015681;10;9200003202;1013720;1722;NB;false;64000;EA;64000;0;2026-05-10;2026-01-23;2026-01-23;PRANATP;1710;81;1001
4500015686;10;9050093102;1004863;7101;NB;false;145560;EA;110280;35280;2026-06-26;2026-01-24;2026-01-24;FITZSIC;1710;177;6001
4500015687;10;9050124801;1004863;7101;NB;false;72780;EA;72780;0;2026-06-26;2026-01-24;2026-01-24;FITZSIC;1710;177;6001
4500015695;10;9050013401;1000026;9999;NB;false;270000;EA;270000;0;2026-05-05;2026-01-26;2026-01-27;PRANATP;1710;188;1001
4500015696;10;9050013401;1000026;9998;NB;false;54000;EA;54000;0;2026-05-05;2026-01-26;2026-01-27;PRANATP;1110;188;1001
4500015697;10;9050013404;1000026;9999;NB;false;27000;EA;27000;0;2026-05-15;2026-01-26;2026-01-27;PRANATP;1710;188;1001
4500015707;10;9050013404;1000026;1113;NB;false;9000;EA;9000;0;2026-04-06;2026-01-26;2026-01-27;PRANATP;1110;188;1001
4500015712;10;9200002301;1000026;9999;NB;false;75000;EA;75000;0;2026-05-10;2026-01-26;2026-01-27;PRANATP;1710;188;1001
4500015741;40;9050059010;1010837;7803;ZSC;false;120000;EA;30768;89232;2026-05-01;2026-01-27;2026-01-27;FITZSIC;1780;177;6002
4500015741;50;9050059010;1010837;1787;ZSC;false;20000;EA;20000;0;2026-05-01;2026-01-27;2026-01-27;FITZSIC;1780;177;6002
4500015759;10;9050083203;1010837;1787;ZSC;false;15000;EA;15000;0;2026-04-24;2026-01-28;2026-01-29;ALLENC;1780;184;6001
4500015759;20;9050083202;1010837;1786;ZSC;false;15000;EA;15000;0;2026-04-24;2026-01-28;2026-01-29;ALLENC;1780;184;6001
4500015759;30;9050083210;1010837;1786;ZSC;false;15000;EA;15000;0;2026-04-24;2026-01-28;2026-01-29;ALLENC;1780;184;6001
4500015761;60;9050062405;1010837;1787;ZSC;false;15000;EA;15000;0;2026-07-06;2026-01-28;2026-01-29;ALLENC;1780;184;4001
4500015762;60;9050056210;1009986;1787;ZSC;false;10000;EA;10000;0;2026-04-24;2026-01-28;2026-01-29;ALLENC;1780;184;6002
4500015764;30;9050129710;1000776;7803;ZSC;false;15000;EA;15000;0;2026-07-20;2026-01-28;2026-01-29;ALLENC;1780;184;4001
4500015764;40;9050062405;1000776;1787;ZSC;false;20000;EA;20000;0;2026-07-03;2026-01-28;2026-01-29;ALLENC;1780;184;4001
4500015768;10;9050130201;1013991;1711;NB;false;35000;EA;35000;0;2026-08-15;2026-01-29;2026-01-29;ZOULM;1710;197;5003
4500015783;50;9050126201;1010091;1786;NB;false;20000;EA;20000;0;2026-05-08;2026-01-29;2026-01-29;TEST_PEOUM;1780;1;6002
4500015784;10;9050126502;1012603;1714;ZSC;false;2880;EA;2880;0;2026-03-30;2026-01-29;2026-01-29;PRANATP;1710;81;1001
4500015791;10;9150183301;1003563;1722;ZSC;false;56400;EA;56400;0;2026-07-01;2026-01-30;2026-01-30;PRANATP;1710;81;1001
4500015808;10;9050141501;1005413;7101;NB;false;9072;EA;9072;0;2026-06-30;2026-01-30;2026-01-30;ZOULM;1710;197;5002
4500015808;20;9050141501;1005413;1711;NB;false;11400;EA;11400;0;2026-06-30;2026-01-30;2026-01-30;ZOULM;1710;197;5002
4500015808;30;9050141501;1005413;1712;NB;false;4536;EA;4536;0;2026-06-30;2026-01-30;2026-01-30;ZOULM;1710;197;5002
4500015809;10;9050142802;1005413;1114;NB;false;12000;EA;12000;0;2026-06-10;2026-01-30;2026-01-30;ZOULM;1110;197;5002
4500015813;20;6350005801;1000019;9997;NB;false;45000;EA;45000;0;2026-03-31;2026-02-03;2026-02-03;ALLENC;1780;184;0001
4500015813;30;6350014304;1000019;9997;NB;false;25000;EA;25000;0;2026-03-31;2026-02-03;2026-02-03;ALLENC;1780;184;0001
4500015814;30;6350062710;1000019;9997;NB;false;35000;EA;35000;0;2026-03-31;2026-02-03;2026-02-03;ALLENC;1780;184;0001
4500015815;20;9050054304;1010837;7803;ZSC;false;8328;EA;8328;0;2026-05-04;2026-02-03;2026-02-03;ALLENC;1780;184;4001
4500015823;20;9050057001;1000776;1787;ZSC;false;15000;EA;15000;0;2026-06-05;2026-02-03;2026-02-03;ALLENC;1780;184;6002
4500015823;40;9050057003;1000776;1787;ZSC;false;20000;EA;20000;0;2026-06-05;2026-02-03;2026-02-03;ALLENC;1780;184;6002
4500015823;60;9050057005;1000776;1786;ZSC;false;5000;EA;5000;0;2026-06-05;2026-02-03;2026-02-03;ALLENC;1780;184;6002
4500015823;80;9050057010;1000776;1786;ZSC;false;10000;EA;10000;0;2026-06-05;2026-02-03;2026-02-03;ALLENC;1780;184;6002
4500015823;90;9050057010;1000776;1787;ZSC;false;15000;EA;15000;0;2026-06-05;2026-02-03;2026-02-03;ALLENC;1780;184;6002
4500015843;10;9050096402;1000776;7101;NB;false;150000;EA;150000;0;2026-06-24;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015843;20;9050096402;1000776;1714;NB;false;36000;EA;36000;0;2026-07-06;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015843;30;9050096402;1000776;1711;NB;false;9660;EA;9660;0;2026-07-06;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015843;40;9050096402;1000776;1712;NB;false;2364;EA;2364;0;2026-07-06;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015844;10;9050137401;1000776;7101;NB;false;120000;EA;120000;0;2026-07-13;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015844;20;9050137401;1000776;1714;NB;false;22000;EA;22000;0;2026-07-13;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015844;30;9050137401;1000776;1711;NB;false;7000;EA;7000;0;2026-07-13;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015844;40;9050137401;1000776;1712;NB;false;1000;EA;1000;0;2026-07-13;2026-02-05;2026-02-05;CHENC;1710;198;1003
4500015846;10;9050057002;1009986;1786;ZSC;false;15000;EA;15000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;20;9050057003;1009986;1786;ZSC;false;10000;EA;10000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;30;9050057003;1009986;1787;ZSC;false;5000;EA;5000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;40;9050057004;1009986;1786;ZSC;false;5000;EA;5000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;50;9050057004;1009986;1787;ZSC;false;10000;EA;10000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;60;9050057009;1009986;1787;ZSC;false;15000;EA;15000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015846;70;9050057010;1009986;1787;ZSC;false;15000;EA;15000;0;2026-04-24;2026-02-05;2026-02-05;ALLENC;1780;184;6002
4500015852;10;9050101701;1004830;7101;NB;false;10000;EA;10000;0;2026-07-01;2026-02-05;2026-02-05;CHENC;1710;198;3003
4500015853;10;9050137601;1000937;7101;ZSC;false;51372;EA;51372;0;2026-06-01;2026-02-05;2026-02-05;CHENC;1710;198;5002
4500015861;10;9050097802;1010516;1711;NB;false;25000;EA;25000;0;2026-07-17;2026-02-06;2026-02-06;CHENC;1710;198;1003
4500015862;10;9050097802;1010516;1712;NB;false;5000;EA;5000;0;2026-07-20;2026-02-06;2026-02-06;CHENC;1710;198;1003
4500015864;10;9050089301;1005413;7101;NB;false;60000;EA;60000;0;2026-10-12;2026-02-06;2026-02-06;ZOULM;1710;197;1003
4500015875;10;6360056801;1004968;1114;NB;false;100000;EA;89200;10800;2026-05-04;2026-02-10;2026-02-10;TAITB;1110;170;0001
4500015875;20;6360052101;1004968;1114;NB;false;100000;EA;100000;0;2026-05-04;2026-02-10;2026-02-10;TAITB;1110;170;0001
4500015885;10;9050113301;1003696;1114;NB;false;25000;EA;25000;0;2026-09-10;2026-02-10;2026-02-10;ZOULM;1110;197;1003
4500015900;10;9050096502;1000776;7101;NB;false;15456;EA;15456;0;2026-06-30;2026-02-11;2026-02-11;CHENC;1710;198;1003
4500015900;20;9050096502;1000776;1714;NB;false;9552;EA;9552;0;2026-06-30;2026-02-11;2026-02-11;CHENC;1710;198;1003
4500015901;10;9050141701;1010525;1114;NB;false;16560;EA;16560;0;2026-06-05;2026-02-12;2026-02-12;CHENC;1110;198;4001
4500015902;10;9050141801;1010525;1114;NB;false;16560;EA;16560;0;2026-07-08;2026-02-12;2026-02-12;CHENC;1110;198;4001
4500015903;10;9050089902;1003563;1722;ZSC;false;5328;EA;324;5004;2026-02-28;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015915;20;9050059010;1010110;7816;ZSC;false;220000;EA;12712;207288;2026-05-04;2026-02-12;2026-02-12;FITZSIC;1780;177;6002
4500015926;10;9050099301;1003563;1722;ZSC;false;5400;EA;5400;0;2026-05-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015927;10;9050099301;1003563;1722;ZSC;false;9720;EA;9720;0;2026-06-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015928;10;9050099302;1003563;1722;ZSC;false;22680;EA;22680;0;2026-04-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015929;10;9050099302;1003563;1722;ZSC;false;11880;EA;11880;0;2026-05-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015930;10;9050099302;1003563;1722;ZSC;false;14040;EA;14040;0;2026-06-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015932;10;9050099303;1003563;1722;ZSC;false;18360;EA;18360;0;2026-05-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015933;10;9050099303;1003563;1722;ZSC;false;18360;EA;18360;0;2026-06-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015939;10;9050099305;1003563;1722;ZSC;false;11880;EA;11880;0;2026-06-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015940;10;9050099306;1003563;1722;ZSC;false;37440;EA;37440;0;2026-04-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015941;10;9050099306;1003563;1722;ZSC;false;16848;EA;16848;0;2026-05-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015942;10;9050099306;1003563;1722;ZSC;false;20592;EA;20592;0;2026-06-30;2026-02-12;2026-02-12;PRANATP;1710;81;1001
4500015950;10;9050093202;1004863;7101;NB;false;73344;EA;73344;0;2026-07-31;2026-02-13;2026-02-13;FITZSIC;1710;177;6002
4500015951;10;9050092902;1004863;7101;NB;false;218340;EA;218340;0;2026-07-31;2026-02-13;2026-02-13;FITZSIC;1710;177;6001
4500015952;10;9050093002;1004863;7101;NB;false;145560;EA;145560;0;2026-07-31;2026-02-13;2026-02-13;FITZSIC;1710;177;6001
4500015953;10;9050093102;1004863;7101;NB;false;72780;EA;72780;0;2026-07-31;2026-02-13;2026-02-13;FITZSIC;1710;177;6001
4500015954;10;9050024202;1000776;1714;NB;false;8000;EA;8000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015954;20;9050024202;1000776;1714;NB;false;2000;EA;2000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015955;10;9050051302;1000776;1714;NB;false;8000;EA;8000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015955;20;9050051302;1000776;1714;NB;false;2000;EA;2000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015956;10;9050024002;1000776;1714;NB;false;8000;EA;8000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015956;20;9050024002;1000776;1711;NB;false;2000;EA;2000;0;2026-07-15;2026-02-13;2026-02-13;FITZSIC;1710;177;4001
4500015968;50;9050059004;1010837;7803;ZSC;false;88768;EA;70000;18768;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015968;70;9050109811;1010837;1786;ZSC;false;70000;EA;60160;9840;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015968;80;9050109811;1010837;7803;ZSC;false;10000;EA;10000;0;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015968;100;9050087811;1010837;7803;ZSC;false;10000;EA;888;9112;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015968;110;9050134125;1010837;1786;ZSC;false;10000;EA;10000;0;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6001
4500015968;120;9050134227;1010837;7803;ZSC;false;24000;EA;24000;0;2026-05-30;2026-02-13;2026-02-13;FITZSIC;1780;177;6001
4500015969;40;9050064723;1002434;7803;ZSC;false;70800;EA;70800;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;50;9050064725;1002434;7803;ZSC;false;9336;EA;9336;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;60;9050064727;1002434;7803;ZSC;false;22320;EA;22320;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;70;9050064723;1002434;1787;ZSC;false;11520;EA;11520;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;80;9050064723;1002434;7817;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;90;9050064723;1002434;7818;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;110;9050064727;1002434;7817;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;130;9050064727;1002434;1787;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;140;9050064725;1002434;7817;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;150;9050064725;1002434;7818;ZSC;false;3840;EA;3840;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015969;170;9050064725;1002434;1787;ZSC;false;11520;EA;11520;0;2026-05-29;2026-02-13;2026-02-13;FITZSIC;1780;177;6002
4500015970;30;9050058308;1010091;1787;NB;false;25000;EA;25000;0;2026-06-29;2026-02-13;2026-02-13;TEST_PEOUM;1780;200;6002
4500015973;10;9050059006;1010837;1786;ZSC;false;10000;EA;10000;0;2026-05-30;2026-02-17;2026-02-17;FITZSIC;1780;177;6002
4500015988;10;9050088704;1003563;1722;ZSC;false;10752;EA;984;9768;2026-06-19;2026-02-17;2026-02-17;GHULEM;1710;188;1001
4500015992;10;9050111802;1003651;1114;NB;false;76500;EA;76500;0;2026-07-14;2026-02-17;2026-02-17;TEST_PEOUM;1110;200;1003
4500015993;10;9050112002;1003651;1114;NB;false;38250;EA;38250;0;2026-07-14;2026-02-17;2026-02-17;TEST_PEOUM;1110;200;1003
4500015994;10;9050111902;1003651;1114;NB;false;97386;EA;97386;0;2026-07-14;2026-02-17;2026-02-17;TEST_PEOUM;1110;200;1003
4500015996;10;9050087301;1000776;1714;NB;false;11000;EA;11000;0;2026-10-26;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500015996;20;9050087301;1000776;7101;NB;false;37000;EA;37000;0;2026-10-26;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500015996;30;9050087301;1000776;1711;NB;false;2000;EA;2000;0;2026-10-26;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500015999;10;9050093401;1000776;1714;NB;false;49500;EA;49500;0;2026-07-20;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500015999;20;9050093401;1000776;7101;NB;false;87300;EA;87300;0;2026-07-20;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500015999;30;9050101401;1000776;7101;NB;false;5000;EA;5000;0;2026-07-20;2026-02-17;2026-02-17;CHENC;1710;198;3003
4500016004;10;9050124901;1010525;7101;NB;false;38412;EA;38412;0;2026-08-31;2026-02-17;2026-02-17;CHENC;1710;198;4001
4500016004;20;9050124901;1010525;1711;NB;false;9600;EA;9600;0;2026-08-31;2026-02-17;2026-02-17;CHENC;1710;198;4001
4500016004;30;9050124901;1010525;1712;NB;false;1920;EA;1920;0;2026-08-31;2026-02-17;2026-02-17;CHENC;1710;198;4001
4500016004;40;9050124901;1010525;1714;NB;false;16320;EA;16320;0;2026-08-31;2026-02-17;2026-02-17;CHENC;1710;198;4001
4500016007;10;9050059009;1010837;7803;ZSC;false;20000;EA;20000;0;2026-05-30;2026-02-17;2026-02-17;FITZSIC;1780;177;6002
4500016008;10;9050133911;1010837;7803;ZSC;false;43000;EA;43000;0;2026-05-29;2026-02-18;2026-02-18;FITZSIC;1780;177;6001
4500016008;20;9050133911;1010837;1786;ZSC;false;5000;EA;5000;0;2026-05-29;2026-02-18;2026-02-18;FITZSIC;1780;177;6001
4500016008;30;9050135031;1010837;7803;ZSC;false;43000;EA;43000;0;2026-05-29;2026-02-18;2026-02-18;FITZSIC;1780;177;6001
4500016008;40;9050135031;1010837;1786;ZSC;false;5000;EA;5000;0;2026-05-29;2026-02-18;2026-02-18;FITZSIC;1780;177;6001
4500016013;20;9050056202;1009986;1786;ZSC;false;9000;EA;9000;0;2026-05-15;2026-02-18;2026-02-18;ALLENC;1780;184;6002
4500016013;30;9050056202;1009986;7803;ZSC;false;1000;EA;1000;0;2026-05-15;2026-02-18;2026-02-18;ALLENC;1780;184;6002
4500016013;40;9050056202;1009986;1787;ZSC;false;5000;EA;5000;0;2026-05-15;2026-02-18;2026-02-18;ALLENC;1780;184;6002
4500016013;50;9050056203;1009986;1787;ZSC;false;10000;EA;10000;0;2026-05-15;2026-02-18;2026-02-18;ALLENC;1780;184;6002
