event_id;chr_ref;po_number;po_linked;primary_reference;status;status_detail;activity_date;mode;mode_detail;pickup_date;origin;destination;total_charge_usd;carrier_code;bol_chr;mbol_number;material_id;invoice_date
95;545393195;;;4500016139;Delivered;Delivered;2026-02-27;Truckload;Truckload (Dry);2026-02-27;RJW - Joliet;Legacy;1,426.39;T4150604;;;;2026-03-02
96;545558985;;;4500015150;Delivered;Delivered;2026-03-02;Truckload;Truckload (Dry);2026-03-02;Tessy Plastics;Menasha (NJ);2,179.70;T6000579;;;9050013404;2026-03-02
97;547214914;;;4500014908;Delivered;Delivered;2026-03-18;LTL;LTL (Dry);2026-03-19;CG LABS;Fosdick;196.29;T2197553;002850420192;;;2026-03-20
98;540877053;;;4500015469;Delivered;Delivered;2026-01-13;Truckload;Truckload (Dry);2026-01-14;Tessy Plastics;RJW - Joliet;2,521.81;T6153653;;;9050013404;2026-01-15
99;544721377;;;4500013331;Delivered;Delivered;2026-02-20;Truckload;Truckload (Dry);2026-02-20;AEROFIL;Legacy In;1,644.70;T5349122;;;;2026-02-23
100;543133186;;;55608145;Delivered;Delivered;2026-02-04;Truckload;Truckload (Dry);2026-02-04;menasha;RJWIL2;2,750.80;T4429951;;;;2026-02-06
101;551893762;;;4500017041;Delivered;Delivered;2026-04-29;LTL;LTL (Dry);2026-04-29;Legacy (IN);Fosdick Fulfillment;1,315.89;T2197553;;;"9050092402; 9050091702";2026-05-05
102;552110272;;;4500017051;Delivered;Delivered;2026-05-01;Truckload;Truckload (Dry);2026-05-01;FM Howell;RJW - Joliet;2,551.47;T6177902;;;9200000201;2026-05-03
103;546541913;;;4500014331;Delivered;Delivered;2026-03-12;Intermodal;Intermodal (Dry);2026-03-12;Beauty Manufacturing Solutions Corp;Legacy (IN);2,674.14;T6057752;;;9050092302;2026-04-03
104;539879147;;;GFDonation121825-1711;Delivered;Delivered;2026-01-15;Truckload;Truckload (Dry);2026-01-15;Fosdick;The River Fund - NY-Good Plus Foundation;868.49;T5179632;;;;2026-01-16
105;539265573;;;4500014782;Delivered;Delivered;2026-01-02;Truckload;Truckload (Dry);2026-01-02;Packaging Corporation of America;Fosdick (CT);1,756.86;T3646825;;;6360035301;2026-01-05
106;555845612;;;4500015344;Delivered;Delivered;2026-06-03;Truckload;Truckload (Dry);2026-06-03;CG Labs;Legacy (IN);1,817.35;T5350504;;;9050089701;2026-06-05
107;547658027;;;4500014664;Carrier Booked;Checked In;2026-03-24;LTL;LTL (Dry);;Beauty Manufacturing Solutions Corp;RJW - Joliet;;T2359780;;;9050112901;
108;544681811;;;4500014325;Delivered;Delivered;2026-02-20;Truckload;Truckload (Dry);2026-02-20;KDC One;RJW - Joliet;1,346.10;T6192760;;;9050091702;2026-02-23
109;555670878;4500016899;true;4500016899;In Transit;Picked Up;2026-06-02;LTL;LTL (Dry);2026-06-02;Acorn;Fosdick CT;349.35;T2197553;;;6270001001;
110;538551664;;;4500015254;Delivered;Delivered;2025-12-23;LTL;LTL (Dry);2025-12-23;Legacy (IN);Fosdick Inbound;1,576.65;T2295160;;;"9050074101; 9050107301; 9050101001; 6120007101; 9050038404";2026-01-09
111;544067167;;;4500015349;Delivered;Delivered;2026-02-13;Truckload;Truckload (Dry);2026-02-13;Westfall-Technik;Legacy IN;700.00;T6046761;;;;2026-02-16
112;541309934;;;CRAFTRET121125, 4500015496;Delivered;Delivered;2026-01-21;LTL;LTL (Dry);2026-01-21;RJW - Joliet;Fosdick;601.32;T8154;;;;2026-01-23
113;548127265;;;4500015570, 4500015596;Delivered;Delivered;2026-03-27;Truckload;Truckload (Dry);2026-03-27;FM Howell;RJW - Joliet;2,323.01;T5282912;;;9050068701;2026-03-30
114;552124983;;;4500016166;Delivered;Delivered;2026-04-30;LTL;LTL (Dry);2026-04-30;Westfall-Technik;Menasha (NJ);635.35;T4446427;;;9200002301;2026-05-04
115;548680139;;;8634086158 -B,8634086158;Delivered;Delivered;2026-03-31;LTL;LTL (Dry);2026-03-31;Menasha Packaging Company;Sams;267.48;T2295160;;;9150206110;2026-04-06
116;546428781;;;4500013996;Delivered;Delivered;2026-03-10;Truckload;Truckload (Dry);2026-03-10;KDC Chemaid;Fosdick;867.05;T5348604;;;9050096801;2026-03-11
117;543729121;;;4500011963 -B,4500011963;Delivered;Delivered;2026-02-13;LTL;LTL (Dry);2026-02-13;KDC One;Fosdick (CT);541.56;T1934631;;;9050092502;2026-02-17
118;553223536;;;4500016286, 4500016288, 4500016285, 4500016347;Delivered;Delivered;2026-05-14;Truckload;Truckload (Dry);2026-05-14;FM Howell;RJW - Joliet;2,250.82;T5387019;;;9050068701;2026-05-15
119;549201827;;;4500015540;Delivered;Delivered;2026-04-06;Truckload;Truckload (Dry);2026-04-06;Orlandi Inc.;Menasha;1,008.30;T6241387;;;;2026-04-06
120;556574740;;;4500015314;Delivered;Delivered;2026-06-11;Truckload;Truckload (Dry);2026-06-11;KDC One;RJW - Joliet;1,558.46;T5260321;;;9050091602;2026-06-12
121;555789143;;;4500017508;Delivered;Delivered;2026-06-03;LTL;LTL (Dry);2026-06-03;Legacy (IN);Westrock IL;468.71;T2197553;;;"9200003802; 9200003702";2026-06-04
122;555923651;4500015524;true;4500015524;Delivered;Delivered;2026-06-04;Truckload;Truckload (Dry);2026-06-04;KDC Chemaid;Legacy;2,753.72;T6220903;;;9050092302;2026-06-05
123;556688633;;;4500017564;Delivered;Delivered;2026-06-10;Truckload;Truckload (Dry);2026-06-10;Menasha Packaging Company;RJW - Joliet;1,899.07;T6281132;;;"9050099401; 9050099306; 9050089902";2026-06-12
124;544493019;;;4500012713;Delivered;Delivered;2026-02-24;LTL;LTL (Dry);2026-02-24;Beauty Manufacturing Solutions Corp;Fosdick (CT);2,106.00;T4446427;;;"9050098401; 9050098301";2026-03-06
125;556378795;4500015808;true;4500015808;In Transit;Picked Up;2026-06-09;LTL;LTL (Dry);2026-06-09;Beauty Manufacturing Solutions Corp;Fosdick Fulfillment;389.97;T2197553;;;9050141501;
126;553971454;;;4500013295;Delivered;Delivered;2026-05-20;Intermodal;Intermodal (Dry);2026-05-20;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,267.22;T5613;;;9050092202;2026-05-28
127;541898369;;;4500015594;Delivered;Delivered;2026-01-23;LTL;LTL (Dry);2026-01-22;Fosdick Outbound;RJW - Joliet;499.96;T4446427;;;9050112901;2026-01-28
128;545392500;;;4500014324;Delivered;Delivered;2026-02-27;Truckload;Truckload (Dry);2026-02-27;KDC One;RJW - Joliet;1,335.63;T5166157;;;9050091602;2026-02-28
129;541785830;;;4500013864,4500013865;Delivered;Delivered;2026-01-23;Truckload;Truckload (Dry);2026-01-23;KDC-Knowlton;RJW - Joliet;3,298.01;T4846281;;;"9050092902; 9050093002";2026-01-27
130;538862837;;;4500013438;Delivered;Delivered;2025-12-23;Truckload;Truckload (Dry);2025-12-23;KDC One;RJW - Joliet;1,221.91;T1418039;;;9050091602;2025-12-26
131;544420497;;;100ml-Cologne-LT-2026-NJ;Delivered;Delivered;2026-02-18;Truckload;Truckload (Dry);2026-02-18;Orlandi Inc.;Menasha (NJ);450.00;T6171580;;;;2026-02-19
132;539899955;;;4500014926;Delivered;Delivered;2026-01-05;Truckload;Truckload (Dry);2026-01-05;PaperFoam;Legacy IN;2,201.69;T3646825;;;;2026-01-07
133;546545685;;;4500014427;Delivered;Delivered;2026-03-11;LTL;LTL (Dry);2026-03-11;KDC-Knowlton;Fosdick (CT);315.02;T2295160;;;9050093002;2026-03-20
134;548369888;;;4500015777,4500015782,4500015350;Delivered;Delivered;2026-03-26;LTL;LTL (Dry);2026-03-26;Westfall-Technik;Legacy IN;240.83;T2295160;;;;2026-03-30
135;551891777;;;4500016803;Delivered;Delivered;2026-04-29;LTL;LTL (Dry);2026-04-29;Legacy (IN);Menasha;622.38;T2197553;;;9050013402;2026-05-01
136;551243341;;;4500015863;In Transit;Picked Up;2026-04-24;Truckload;Truckload (Dry);2026-04-24;PLZ MISSISSAUGA PERSONAL CARE;Legacy IN;1,749.96;T5367156;;;;2026-04-24
137;552617778;;;4500015779;Delivered;Delivered;2026-05-06;Truckload;Truckload (Dry);2026-05-06;Westfall-Technik;Legacy IN;650.00;T6046761;;;9050099802;2026-05-07
138;540331605;;;4500015434, 4500015436;Delivered;Delivered;2026-01-12;Truckload;Truckload (Dry);2026-01-12;RJW - Joliet;Legacy IN;1,446.03;T5195990;;;;2026-01-13
139;546613925;;;4500014331;Delivered;Delivered;2026-03-12;Intermodal;Intermodal (Dry);2026-03-12;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,852.15;T5613;;;9050092302;2026-03-19
140;557008190;;;0528CT_RiverFund;In Transit;Picked Up;2026-06-12;LTL;LTL (Dry);2026-06-12;Fosdick;The River Fund c/o: Good+Foundation;293.10;T1934631;;;;
141;547062887;;;4500014324;Delivered;Delivered;2026-03-18;LTL;LTL (Dry);2026-03-18;KDC One;Harry's, INC. C/O Fosdick Fulfillment;785.61;T2359780;;398965839593;9050091602;2026-03-26
142;544995026;;;4500012713;Delivered;Delivered;2026-02-25;Intermodal;Intermodal (Dry);2026-02-25;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,837.84;T3971627;;;"9050098401; 9050098301";2026-03-20
143;552915523;;;4500015179;Delivered;Delivered;2026-05-12;Truckload;Truckload (Dry);2026-05-12;KDC Chemaid;RJW - Joliet;1,979.00;T6027220;;;9050137401;2026-05-19
144;548676816;;;2784046638;Delivered;Delivered;2026-04-01;LTL;LTL (Dry);2026-04-01;Menasha Packaging Company;Sams Club;2,184.93;T129576;1004173568;;9150206110;2026-04-03
145;557053029;;;4500015779, 16163, 16541;Delivered;Delivered;2026-06-12;Truckload;Truckload (Dry);2026-06-12;Westfall-Technik;Legacy (IN);1,333.95;T5248011;;;;
